feature,mean_shap
prevapp_AMT_CREDIT_mean,1.5807714312002072e-06
FLAG_DOCUMENT_9,3.2596940090332465e-06
AMT_GOODS_PRICE,-0.012442234958734269
prevapp_DAYS_LAST_DUE_sum,-0.0034598206636761645
bureau_SK_ID_BUREAU_max,-0.001644560855205931
HOUR_APPR_PROCESS_START,-0.00685607736804755
bureau_AMT_CREDIT_SUM_OVERDUE_sum,-0.0007534040546670367
prevapp_SK_ID_PREV_var,-0.0001378895084951875
bureau_AMT_CREDIT_SUM_LIMIT_min,-9.686347255057976e-05
FLAG_DOCUMENT_21,-1.500033960444174e-05
bureau_DAYS_CREDIT_ENDDATE_sum,-0.002808974121862831
bureau_AMT_CREDIT_SUM_OVERDUE_min,0.0
FLAG_EMAIL,-0.00022675613308587822
prevapp_NFLAG_INSURED_ON_APPROVAL_max,-0.10093399557495543
prevapp_DAYS_TERMINATION_sum,0.0004908904088645918
bureau_DAYS_CREDIT_UPDATE_sum,-4.3612070487603475e-07
FLAG_OWN_CAR,-0.20599641025364038
prevapp_DAYS_LAST_DUE_var,-1.6501224723913035e-05
bureau_DAYS_CREDIT_UPDATE_min,-0.0014621886953677175
REGION_POPULATION_RELATIVE,-0.007530500457371062
CODE_GENDER,-0.4467772623588308
bureau_CREDIT_DAY_OVERDUE_min,-1.2196496936400734e-05
prevapp_AMT_GOODS_PRICE_max,-0.001259970416939416
prevapp_SELLERPLACE_AREA_mean,-0.00013384964409835805
WEEKDAY_APPR_PROCESS_START,-0.12817779670165058
bureau_SK_ID_BUREAU_var,-0.004397063235072797
prevapp_AMT_ANNUITY_max,-0.0005251022242168134
NAME_TYPE_SUITE,-0.019100039385351198
prevapp_DAYS_LAST_DUE_mean,-0.023430315099918133
prevapp_RATE_DOWN_PAYMENT_min,-0.040912526674213884
prevapp_DAYS_FIRST_DUE_max,-0.0018401678619185088
prevapp_AMT_CREDIT_max,1.9644710564137803e-05
REG_CITY_NOT_LIVE_CITY,-0.08270482083674958
prevapp_AMT_DOWN_PAYMENT_max,-0.003438976765086919
bureau_AMT_CREDIT_SUM_max,-0.0014902448456757672
prevapp_AMT_DOWN_PAYMENT_sum,-0.0003428208161468116
prevapp_HOUR_APPR_PROCESS_START_var,8.383264090217997e-06
bureau_AMT_CREDIT_SUM_LIMIT_mean,-1.5011574461897032e-05
AMT_ANNUITY,-0.002421412934160481
prevapp_AMT_ANNUITY_var,2.2133766427593787e-05
prevapp_DAYS_TERMINATION_var,7.281166571857162e-05
FLAG_DOCUMENT_19,0.0
prevapp_HOUR_APPR_PROCESS_START_mean,-0.00023725163514283878
REG_REGION_NOT_WORK_REGION,0.0
EXT_SOURCE_2,-0.08708504098909457
FLAG_DOCUMENT_20,0.0
bureau_AMT_ANNUITY_sum,-0.0005695185383556025
prevapp_CNT_PAYMENT_mean,-0.001962759927122935
bureau_CREDIT_DAY_OVERDUE_sum,0.0
prevapp_SELLERPLACE_AREA_sum,8.144635492604101e-05
AMT_CREDIT,-0.018944128492736637
prevapp_AMT_APPLICATION_sum,0.0
prevapp_RATE_DOWN_PAYMENT_sum,-0.0005091033245697665
bureau_CREDIT_DAY_OVERDUE_mean,0.0
bureau_AMT_CREDIT_SUM_DEBT_min,-0.013352556390901845
bureau_SK_ID_BUREAU_sum,-0.0001922725584737788
bureau_DAYS_CREDIT_ENDDATE_mean,-0.0006195201856345524
bureau_AMT_CREDIT_SUM_OVERDUE_mean,-3.4316964193682965e-05
prevapp_NFLAG_LAST_APPL_IN_DAY_mean,0.0
FLAG_DOCUMENT_14,0.0
prevapp_DAYS_DECISION_max,-0.00039313717667044444
bureau_CREDIT_DAY_OVERDUE_var,0.0
bureau_DAYS_ENDDATE_FACT_sum,-0.0019740192184565
bureau_DAYS_CREDIT_mean,-0.0006645007996879061
prevapp_NFLAG_LAST_APPL_IN_DAY_sum,-0.00663396212278987
prevapp_DAYS_LAST_DUE_1ST_VERSION_min,0.0006064635671509134
bureau_DAYS_ENDDATE_FACT_mean,-3.25048568252709e-05
bureau_AMT_CREDIT_SUM_LIMIT_var,-1.8187149146714395e-05
prevapp_SELLERPLACE_AREA_max,-0.0004320813733280729
prevapp_DAYS_FIRST_DUE_sum,-7.498624390701786e-05
NAME_INCOME_TYPE,-0.06689704314361156
AMT_REQ_CREDIT_BUREAU_HOUR,8.351438812604878e-05
prevapp_SK_ID_PREV_max,0.0001301577879089215
bureau_AMT_CREDIT_SUM_sum,-0.0012292089442968253
prevapp_DAYS_LAST_DUE_max,0.011213776032089303
prevapp_DAYS_TERMINATION_max,0.003120702263063702
prevapp_RATE_DOWN_PAYMENT_max,-0.024165408624410835
bureau_DAYS_CREDIT_UPDATE_max,-0.012902885749848676
bureau_DAYS_CREDIT_max,-0.0006324200366935629
bureau_DAYS_CREDIT_UPDATE_mean,0.0007951753591664268
bureau_CNT_CREDIT_PROLONG_sum,0.0
bureau_AMT_CREDIT_SUM_var,-0.0002800034472778128
prevapp_AMT_CREDIT_sum,-0.00010847570822702796
FLAG_DOCUMENT_6,0.0018631983325739976
prevapp_DAYS_FIRST_DUE_min,-0.002669201422709331
prevapp_HOUR_APPR_PROCESS_START_max,-0.024005770601386544
prevapp_SK_ID_PREV_min,2.8871711382900344e-06
bureau_DAYS_ENDDATE_FACT_min,9.56013925278933e-05
prevapp_NFLAG_INSURED_ON_APPROVAL_mean,-9.808929171126207e-05
CNT_CHILDREN,-0.11624940309525218
AMT_REQ_CREDIT_BUREAU_YEAR,-0.02990583603375407
bureau_DAYS_CREDIT_var,-1.3697816229084856e-05
prevapp_DAYS_LAST_DUE_min,-0.0015022610793858052
REG_CITY_NOT_WORK_CITY,-0.2129117713302392
prevapp_NFLAG_INSURED_ON_APPROVAL_sum,-0.008536885661791265
prevapp_SELLERPLACE_AREA_var,-2.1456385011191097e-05
prevapp_CNT_PAYMENT_max,-0.04196954726584318
FLAG_DOCUMENT_2,0.0
prevapp_DAYS_DECISION_mean,-3.8727320692999415e-05
prevapp_DAYS_DECISION_min,-0.0010065051380696499
EXT_SOURCE_3,-0.05226463063770033
bureau_CNT_CREDIT_PROLONG_var,0.0
prevapp_DAYS_DECISION_var,-7.098496350623363e-05
FLAG_OWN_REALTY,-0.44127771038563823
bureau_DAYS_CREDIT_min,-0.007161880750427285
prevapp_AMT_DOWN_PAYMENT_min,-0.002473452385359388
bureau_CNT_CREDIT_PROLONG_max,0.0
REG_REGION_NOT_LIVE_REGION,5.619673081104258e-06
prevapp_DAYS_FIRST_DRAWING_sum,-0.01886058564133877
bureau_DAYS_CREDIT_ENDDATE_min,-4.870754579548251e-06
FLAG_WORK_PHONE,-0.28049483276152976
